scenario_key,scenario_id,scenario_label,provider,model,seed,window_offset,frequency,start,end,max_periods,walk_forward_unit,cache_policy,provider_call_policy,provider_drift_guard,timestamp_policy,data_hash,parse_coverage,evidence_tags,claim_scope,total_return,max_drawdown,sharpe,execution_fill_rate,rejected_order_count,risk_clipped_decisions,risk_violation_count,trajectory_reproducibility_coverage,alpha_pre_risk_total_return,alpha_pre_risk_sharpe,alpha_pre_risk_hit_rate,alpha_pre_risk_steps,alpha_quality_score,risk_discipline_score,execution_robustness_score,reproducibility_hash,submission,summary
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,gpt-5.5,7,0,weekly,2025-05-01,2026-05-14,12,rolling_window_offset,live_or_cache_backed_raw_cache_ignored,provider_api_or_frozen_cache,record_provider_model_data_hash_and_redacted_manifest,relative_masked,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,0.009544787382853137,-0.056618626037848285,1.054812181416663,0.8333333333333334,3,37,7,1.0,0.23914407278596594,6.699630982668503,0.7,10,0.9400000000000001,0.29166666666666663,0.6869416743573207,sha256:d080576867c6ebe09805870258ff5a5caab2e6dddd1b9f286b3bbab677d6a493,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gpt_5_5__seed_7.json,docs/results/real_market_matrix/recent_cross_asset__poe_gpt_5_5__seed_7_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,gpt-5.5,11,1,weekly,2025-05-01,2026-05-14,12,rolling_window_offset,live_or_cache_backed_raw_cache_ignored,provider_api_or_frozen_cache,record_provider_model_data_hash_and_redacted_manifest,relative_masked,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,-0.008230550353412136,-0.056727803567805934,-0.7643698176036119,0.7931034482758621,3,37,8,1.0,0.15296397105853599,4.946616681485479,0.7777777777777778,9,0.9555555555555556,0.26388888888888884,0.6797847023636334,sha256:bd8f2291a9fbcb67fb2cccd9fe47a751841190d67704a5dd8aa77a52d6da2407,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gpt_5_5__seed_11.json,docs/results/real_market_matrix/recent_cross_asset__poe_gpt_5_5__seed_11_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,gpt-5.5,17,2,weekly,2025-05-01,2026-05-14,12,rolling_window_offset,live_or_cache_backed_raw_cache_ignored,provider_api_or_frozen_cache,record_provider_model_data_hash_and_redacted_manifest,relative_masked,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,0.0053205025420861585,-0.056891569876605375,0.6114676558895236,0.8076923076923077,3,32,8,1.0,0.18807783183579074,6.228938085546921,0.75,8,0.9500000000000001,0.33333333333333337,0.684136850322847,sha256:8705d0026b8b449515dbd60f2a147c7cf608342457de93f06b29c82f0b62607b,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gpt_5_5__seed_17.json,docs/results/real_market_matrix/recent_cross_asset__poe_gpt_5_5__seed_17_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,gpt-5.5,23,3,weekly,2025-05-01,2026-05-14,12,rolling_window_offset,live_or_cache_backed_raw_cache_ignored,provider_api_or_frozen_cache,record_provider_model_data_hash_and_redacted_manifest,relative_masked,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,-0.10311258473795815,-0.11999968810059158,-8.121019109595014,0.6875,7,36,13,1.0,-0.18612744110953094,-2.9805049391930223,0.625,8,0.125,0.13888888888888884,0.5912952456834657,sha256:892eda5d0bbb298a4a4a2f870ebe58ed8fdd8be3cbc3154dc979f119a22e862b,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gpt_5_5__seed_23.json,docs/results/real_market_matrix/recent_cross_asset__poe_gpt_5_5__seed_23_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,gpt-5.5,31,4,weekly,2025-05-01,2026-05-14,12,rolling_window_offset,live_or_cache_backed_raw_cache_ignored,provider_api_or_frozen_cache,record_provider_model_data_hash_and_redacted_manifest,relative_masked,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,-0.11027907110591328,-0.12015062655069708,-9.059585405261586,0.6896551724137931,6,30,11,1.0,-0.2488121890403967,-5.138886838619176,0.5714285714285714,7,0.11428571428571428,0.2777777777777778,0.603359301842571,sha256:56ef503e6f84dcf50b448435428472b326db3628cd28f3e8ecd2d6dc251c1ea6,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gpt_5_5__seed_31.json,docs/results/real_market_matrix/recent_cross_asset__poe_gpt_5_5__seed_31_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,gemini-3.1-pro,7,0,weekly,2025-05-01,2026-05-14,12,rolling_window_offset,live_or_cache_backed_raw_cache_ignored,provider_api_or_frozen_cache,record_provider_model_data_hash_and_redacted_manifest,relative_masked,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,0.04864212103857812,-0.04226851863858172,3.8165569988781773,0.7307692307692307,6,24,9,1.0,0.06932871798863682,2.976040306816817,0.625,8,0.7962586333720805,0.41666666666666663,0.6176217463097622,sha256:e57b4893cff3f049e6c6e305af3a88fee6ca2e13ac651d124e4661adee1a5e68,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gemini_3_1_pro__seed_7.json,docs/results/real_market_matrix/recent_cross_asset__poe_gemini_3_1_pro__seed_7_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,gemini-3.1-pro,11,1,weekly,2025-05-01,2026-05-14,12,rolling_window_offset,live_or_cache_backed_raw_cache_ignored,provider_api_or_frozen_cache,record_provider_model_data_hash_and_redacted_manifest,relative_masked,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,0.01658786460595807,-0.041298127656762995,1.8223857068906957,0.76,3,27,7,1.0,0.13660500296846467,5.177210620175055,0.625,8,0.925,0.4305555555555556,0.6805589565776666,sha256:4415accc1ec93cd393a23987a0af4dc53352aee940934ba53fc3391c16412004,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gemini_3_1_pro__seed_11.json,docs/results/real_market_matrix/recent_cross_asset__poe_gemini_3_1_pro__seed_11_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,gemini-3.1-pro,17,2,weekly,2025-05-01,2026-05-14,12,rolling_window_offset,live_or_cache_backed_raw_cache_ignored,provider_api_or_frozen_cache,record_provider_model_data_hash_and_redacted_manifest,relative_masked,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,0.03148638745614596,-0.04226851863858172,2.638874737897278,0.7727272727272727,3,23,7,1.0,0.0945118901647235,4.073218612029556,0.7142857142857143,7,0.9305088957277708,0.48611111111111116,0.6748856018752234,sha256:8ec660b9803be9925ef87d04700ed157ae065178e380f301e5156e3cceb11010,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gemini_3_1_pro__seed_17.json,docs/results/real_market_matrix/recent_cross_asset__poe_gemini_3_1_pro__seed_17_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,gemini-3.1-pro,23,3,weekly,2025-05-01,2026-05-14,12,rolling_window_offset,live_or_cache_backed_raw_cache_ignored,provider_api_or_frozen_cache,record_provider_model_data_hash_and_redacted_manifest,relative_masked,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,-0.052938365777701946,-0.1211969469402896,-2.748118171629977,0.6333333333333333,8,23,14,1.0,-0.21043244440963216,-4.128019280683404,0.5714285714285714,7,0.11428571428571428,0.29166666666666663,0.5215802795368492,sha256:1c7196d1253dc98c256131df5e97c0da9f83345a733247277bf09f9d2ab8d424,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gemini_3_1_pro__seed_23.json,docs/results/real_market_matrix/recent_cross_asset__poe_gemini_3_1_pro__seed_23_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,gemini-3.1-pro,31,4,weekly,2025-05-01,2026-05-14,12,rolling_window_offset,live_or_cache_backed_raw_cache_ignored,provider_api_or_frozen_cache,record_provider_model_data_hash_and_redacted_manifest,relative_masked,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,1.0,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,-0.09736639841709327,-0.12070996911096421,-7.018217269168993,0.6296296296296297,7,19,14,1.0,-0.2524308356058501,-7.010097911098188,0.4,5,0.08000000000000002,0.3472222222222222,0.5496899288819544,sha256:499250f22d862e51cdc5116d25099137f8a82039c99ae1b5a1acdc8b193857df,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gemini_3_1_pro__seed_31.json,docs/results/real_market_matrix/recent_cross_asset__poe_gemini_3_1_pro__seed_31_summary.json
