scenario_key,scenario_label,provider,model,run_count,seed_count,seeds,window_offsets,frequency,start,end,max_periods,return_mean,return_std,return_ci_low,return_ci_high,evidence_tags,claim_scope,provider_call_policy,cache_policy,timestamp_policy,provider_drift_guard
rates_drawdown,Yahoo 2022 rates drawdown,baseline,always-hold,5,5,"7,11,17,23,31","0,1,2,3,4",weekly,2022-01-01,2022-12-31,12,0.0,0.0,0.0,0.0,stress-only;deterministic-baseline,deterministic baseline under stress-only execution,deterministic_baseline,deterministic_no_provider_cache,relative_masked,not_applicable
rates_drawdown,Yahoo 2022 rates drawdown,baseline,random,5,5,"7,11,17,23,31","0,1,2,3,4",weekly,2022-01-01,2022-12-31,12,-0.03203339288036287,0.08296195094129007,-0.09562359406446416,0.031942557266996664,stress-only;deterministic-baseline,deterministic baseline under stress-only execution,deterministic_baseline,deterministic_no_provider_cache,relative_masked,not_applicable
rates_drawdown,Yahoo 2022 rates drawdown,deepseek,deepseek-v4-flash,5,5,"7,11,17,23,31","0,1,2,3,4",weekly,2022-01-01,2022-12-31,12,-0.09291069381793922,0.0695348223683108,-0.13814078027018215,-0.034503787684317944,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,provider_api_or_frozen_cache,live_or_cache_backed_raw_cache_ignored,relative_masked,record_provider_model_data_hash_and_redacted_manifest
rates_drawdown,Yahoo 2022 rates drawdown,deepseek,deepseek-v4-pro,5,5,"7,11,17,23,31","0,1,2,3,4",weekly,2022-01-01,2022-12-31,12,-0.06125279574983289,0.06906548235951276,-0.11317624749407999,-0.009329344005585782,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,provider_api_or_frozen_cache,live_or_cache_backed_raw_cache_ignored,relative_masked,record_provider_model_data_hash_and_redacted_manifest
rates_drawdown,Yahoo 2022 rates drawdown,poe,claude-opus-4.7,5,5,"7,11,17,23,31","0,1,2,3,4",weekly,2022-01-01,2022-12-31,12,-0.08064669221285445,0.06735860051464382,-0.1298900217170849,-0.023891868996904743,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,provider_api_or_frozen_cache,live_or_cache_backed_raw_cache_ignored,relative_masked,record_provider_model_data_hash_and_redacted_manifest
rates_drawdown,Yahoo 2022 rates drawdown,poe,gemini-3.1-pro,5,5,"7,11,17,23,31","0,1,2,3,4",weekly,2022-01-01,2022-12-31,12,-0.0865037624450248,0.07085997492780502,-0.13464427494224124,-0.0238567218630243,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,provider_api_or_frozen_cache,live_or_cache_backed_raw_cache_ignored,relative_masked,record_provider_model_data_hash_and_redacted_manifest
rates_drawdown,Yahoo 2022 rates drawdown,poe,glm-5,5,5,"7,11,17,23,31","0,1,2,3,4",weekly,2022-01-01,2022-12-31,12,-0.07085484615512108,0.08374727834787456,-0.13368228991848138,-0.008027402391760762,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,provider_api_or_frozen_cache,live_or_cache_backed_raw_cache_ignored,relative_masked,record_provider_model_data_hash_and_redacted_manifest
rates_drawdown,Yahoo 2022 rates drawdown,poe,gpt-5.5,5,5,"7,11,17,23,31","0,1,2,3,4",weekly,2022-01-01,2022-12-31,12,-0.08833002620438166,0.06754741526424785,-0.1336748980409463,-0.028447902363220857,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,provider_api_or_frozen_cache,live_or_cache_backed_raw_cache_ignored,relative_masked,record_provider_model_data_hash_and_redacted_manifest
rates_drawdown,Yahoo 2022 rates drawdown,poe,kimi-k2.5,5,5,"7,11,17,23,31","0,1,2,3,4",weekly,2022-01-01,2022-12-31,12,-0.07244645400852448,0.06654387788707812,-0.1208869636611684,-0.020327008376152665,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution,provider_api_or_frozen_cache,live_or_cache_backed_raw_cache_ignored,relative_masked,record_provider_model_data_hash_and_redacted_manifest
recent_cross_asset,Yahoo recent GSPC/BTC/BTC futures,baseline,always-hold,5,5,"7,11,17,23,31","0,1,2,3,4",weekly,2025-05-01,2026-05-14,12,0.0,0.0,0.0,0.0,stress-only;deterministic-baseline,deterministic baseline under stress-only execution,deterministic_baseline,deterministic_no_provider_cache,relative_masked,not_applicable
